URL	URLLength	Domain	DomainLength	IsDomainIP	TLD	URLSimilarityIndex	CharContinuationRate	TLDLegitimateProb	URLCharProb	TLDLength	NoOfSubDomain	HasObfuscation	NoOfObfuscatedChar	ObfuscationRatio	NoOfLettersInURL	LetterRatioInURL	NoOfDigitsInURL	DigitRatioInURL	NoOfEqualsInURL	NoOfQMarkInURL	NoOfAmpersandInURL	NoOfOtherSpecialCharsInURL	SpecialCharRatioInURL	IsHTTPS	LineOfCode	LargestLineLength	HasFavicon	Robots	IsResponsive	NoOfURLRedirect	NoOfSelfRedirect	HasDescription	NoOfPopup	NoOfiFrame	HasExternalFormSubmit	HasSubmitButton	HasHiddenFields	HasPasswordField	NoOfImage	NoOfCSS	NoOfJS	NoOfSelfRef	NoOfEmptyRef	NoOfExternalRef	Label
https://www.southbankmosaics.com	31	www.southbankmosaics.com	24	0	com	100	1	0.5229071	0.061933179	3	1	0	0	0	18	0.581	0	0	0	0	0	1	0.032	1	558	9381	0	1	1	0	0	0	0	1	0	1	1	0	34	20	28	119	0	124	1
https://www.uni-mainz.de	23	www.uni-mainz.de	16	0	de	100	0.666666667	0.0326503	0.050207214	2	1	0	0	0	9	0.391	0	0	0	0	0	2	0.087	1	618	9381	1	1	0	0	0	0	0	0	0	1	0	0	50	9	8	39	0	217	1
https://www.voicefmradio.co.uk	29	www.voicefmradio.co.uk	22	0	uk	100	0.866666667	0.028555	0.06412872	2	2	0	0	0	15	0.517	0	0	0	0	0	2	0.069	1	467	682	0	1	1	0	0	1	0	0	0	1	1	0	10	2	7	42	2	5	1
https://www.sfnmjournal.com	26	www.sfnmjournal.com	19	0	com	100	1	0.5229071	0.057605756	3	1	0	0	0	13	0.5	0	0	0	0	0	1	0.038	1	6356	26824	0	1	1	0	0	0	1	12	0	1	1	0	3	27	15	22	1	31	1
https://www.rewildingargentina.org	33	www.rewildingargentina.org	26	0	org	100	1	0.0799628	0.059441389	3	1	0	0	0	20	0.606	0	0	0	0	0	1	0.03	1	6089	28404	0	1	1	1	1	1	0	2	0	1	1	0	244	15	34	72	1	85	1
https://www.globalreporting.org	30	www.globalreporting.org	23	0	org	100	1	0.0799628	0.060614474	3	1	0	0	0	17	0.567	0	0	0	0	0	1	0.033	1	1210	737	0	0	1	0	0	1	1	1	0	0	1	0	35	1	11	86	0	14	1
https://www.saffronart.com	25	www.saffronart.com	18	0	com	100	1	0.5229071	0.063549404	3	1	0	0	0	12	0.48	0	0	0	0	0	1	0.04	1	1024	984	1	0	1	1	1	0	2	4	0	0	1	0	32	4	14	44	2	17	1
https://www.nerdscandy.com	25	www.nerdscandy.com	18	0	com	100	1	0.5229071	0.0604856	3	1	0	0	0	12	0.48	0	0	0	0	0	1	0.04	1	514	399	1	0	1	0	0	1	0	1	0	1	0	0	24	2	22	36	0	15	1
https://www.aap.org	18	www.aap.org	11	0	org	100	1	0.0799628	0.070497453	3	1	0	0	0	5	0.278	0	0	0	0	0	1	0.056	1	2730	481	1	1	1	0	0	1	0	2	0	0	0	0	10	1	12	173	6	65	1
https://www.religionenlibertad.com	33	www.religionenlibertad.com	26	0	com	100	1	0.5229071	0.063946492	3	1	0	0	0	20	0.606	0	0	0	0	0	1	0.03	1	2616	584	1	1	1	0	0	1	0	5	0	1	0	0	80	13	10	376	1	9	1
http://www.teramill.com	22	www.teramill.com	16	0	com	82.6446281	1	0.5229071	0.06741797	3	1	0	0	0	10	0.455	0	0	0	0	0	1	0.045	0	2	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
