column_name	mean	std	min	max	outliers
URL	NA	NA	NA	NA	0
URLLength	34.557610	41.291078	13	6097	3123
Domain	NA	NA	NA	NA	0
DomainLength	21.469546	9.149352	4	110	10076
IsDomainIP	0.002706	0.051951	0	1	638
TLD	121.803005	70.883658	11	252	0
URLSimilarityIndex	78.442277	28.966061	0.155574	100	13207
CharContinuationRate	0.845542	0.216613	0	1	13469
TLDLegitimateProb	0.260429	0.251627	0	0.522907	0
URLCharProb	0.055750	0.010586	0.00108276	0.0908237	11831
TLDLength	2.764483	0.599728	2	13	9585
NoOfSubDomain	1.164756	0.600920	0	10	7053
HasObfuscation	0.002023	0.044936	0	1	477
NoOfObfuscatedChar	0.024102	1.869349	0	447	249
ObfuscationRatio	0.000134	0.003719	0	0.348	474
NoOfLettersInURL	19.420324	29.080107	0	5191	3964
LetterRatioInURL	0.515940	0.123317	0	0.926	10698
NoOfDigitsInURL	1.876636	11.880773	0	2011	2530
DigitRatioInURL	0.028583	0.070842	0	0.684	13922
NoOfEqualsInURL	0.061968	0.933840	0	176	2631
NoOfQMarkInURL	0.029302	0.193112	0	4	6109
NoOfAmpersandInURL	0.024806	0.834770	0	149	583
NoOfOtherSpecialCharsInURL	2.337914	3.521732	0	499	4780
SpecialCharRatioInURL	0.063293	0.032371	0	0.397	11390
IsHTTPS	0.782625	0.412461	0	1	0
LineOfCode	1142.078664	3420.248927	2	442666	4109
LargestLineLength	12776.340846	152101.684484	22	13975732	1069
HasFavicon	0.361796	0.480521	0	1	0
Robots	0.266572	0.442167	0	1	0
IsResponsive	0.624558	0.484238	0	1	0
NoOfURLRedirect	0.133447	0.340058	0	1	31460
NoOfSelfRedirect	0.040115	0.196229	0	1	9457
HasDescription	0.440244	0.496417	0	1	0
NoOfPopup	0.221808	3.870916	0	602	1135
NoOfiFrame	1.588927	5.763084	0	1602	8107
HasExternalFormSubmit	0.043996	0.205087	0	1	10372
HasSubmitButton	0.414322	0.492606	0	1	0
HasHiddenFields	0.377834	0.484847	0	1	0
HasPasswordField	0.102253	0.302981	0	1	24106
NoOfImage	26.080123	79.418739	0	8956	3893
NoOfCSS	6.334199	74.873557	0	35820	77
NoOfJS	10.524138	22.313959	0	6957	3931
NoOfSelfRef	65.083093	176.702534	0	27397	3871
NoOfEmptyRef	2.378033	17.642789	0	4887	1808
NoOfExternalRef	49.270461	161.040834	0	27516	3245
Label	0.571998	0.494790	0	1	0
