FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
8124855.txt,https://yts.direct/secure/bankofamerica.com/bank%20of%20america%20_%20online%20banking%20_%20log%20in%20_%20online%20id.html?origin=signonv2screen.go,149,yts.direct,10,0,direct,8.589133513,1,0.0000107,0.048172346,6,0,1,33,0.221,95,0.638,23,0.154,1,1,11,10,0.154,1,90,394,1,ytssecurebankofamericacombank%20of%20america%20_%20online%20banking%20_%20log%20in%20_%20online%20idhtml?origin=signonv2screengo,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,2,0,2,0
717921.txt,https://www.kdjlibrary.org,25,www.kdjlibrary.org,18,0,org,100,1,0.0799628,0.047045076,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,595,494,1,kdjlibrary,100,100,0,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,1,3,2,13,79,11,4,1
475782.txt,https://www.shreemaa.org,23,www.shreemaa.org,16,0,org,100,1,0.0799628,0.070988636,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,642,2523,1,shreemaa,100,100,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,3,17,16,269,0,292,1
507385.txt,https://www.rangemagazine.com,28,www.rangemagazine.com,21,0,com,100,1,0.5229071,0.064167697,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,613,1177,1,rangemagazine,100,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,41,0,0,16,0,89,1
mw26887.txt,http://www.bigtext.club,22,www.bigtext.club,16,0,club,75.20661157,1,0.0006227,0.046522294,4,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8075231.txt,http://www.amazceom-co-jp.amaczeon.rgtbpf.cn/,45,www.amazceom-co-jp.amaczeon.rgtbpf.cn,37,0,cn,27.96413331,0.3,0.0033218,0.059011535,2,3,0,0,0,28,0.622,0,0,0,0,0,6,0.133,0,2,537,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
429087.txt,https://www.shesellsyarn.com,27,www.shesellsyarn.com,20,0,com,100,1,0.5229071,0.06039256,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,935,1447,1,shesellsyarn,100,100,1,1,1,1,1,1,0,2,0,1,0,1,0,0,1,0,1,11,6,12,136,1,145,1
165228.txt,https://www.classicdosgames.com,30,www.classicdosgames.com,23,0,com,100,1,0.5229071,0.066150769,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,164,827,1,classicdosgames,100,100,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,2,2,17,0,5,1
8025610.txt,https://bnki2id.firebaseapp.com/,31,bnki2id.firebaseapp.com,23,0,com,46.94391934,0.684210526,0.5229071,0.052509891,3,1,0,0,0,20,0.645,1,0.032,0,0,0,2,0.065,1,108,8125,1,bnki2idfirebaseapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
652708.txt,https://www.julesmoderne.com,27,www.julesmoderne.com,20,0,com,100,1,0.5229071,0.063843185,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,3669,42080,1,julesmoderne,100,100,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,53,4,9,238,0,1,1
55350.txt,https://www.channelpartner.de,28,www.channelpartner.de,21,0,de,100,1,0.0326503,0.059250032,2,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,2880,1336,1,channelpartner,100,100,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,1,34,4,19,257,2,62,1
173298.txt,https://www.delfontmackintosh.co.uk,34,www.delfontmackintosh.co.uk,27,0,uk,100,0.9,0.028555,0.059459716,2,2,0,0,0,20,0.588,0,0,0,0,0,2,0.059,1,1610,2950,1,delfontmackintoshco,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,54,2,7,132,9,147,1
758856.txt,https://www.rc.fm,16,www.rc.fm,9,0,fm,100,1,0.0004846,0.049893906,2,1,0,0,0,3,0.188,0,0,0,0,0,1,0.062,1,881,12016,1,rc,100,100,0,1,1,1,0,1,0,4,0,1,1,1,0,0,0,0,1,36,52,37,117,0,73,1
8053089.txt,https://attverses.weebly.com/,29,attverses.weebly.com,20,0,com,63.97619048,0.625,0.5229071,0.058951217,3,1,0,0,0,18,0.621,0,0,0,0,0,3,0.103,1,129,368,1,attversesweebly,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0
